,entry,exit,profit,draw_down,run_up
465,58.98,58.34,-1.0851135978297566,58.34,60.59
466,56.82,56.54,-0.4927842309046082,56.54,56.82
467,56.98,56.72,-0.45630045630045135,56.72,57.14
468,56.36,56.17,-0.3371185237757257,56.17,56.36
469,56.48,56.21,-0.4780453257790307,56.21,57.02
470,56.94,56.73,-0.36880927291886856,56.73,57.6
471,57.62,57.31,-0.5380076362374142,57.31,57.86
472,58.94,61.68,4.6487953851374275,58.94,68.33
473,62.02,61.72,-0.4837149306675337,61.72,62.59
474,62.42,62.06,-0.5767382249279085,62.06,62.89
475,62.53,62.02,-0.815608507916199,62.02,62.53
476,57.96,57.69,-0.46583850931677384,57.69,57.97
477,58.42,58.22,-0.3423485107839852,58.22,58.77
478,58.27,57.91,-0.6178136262227629,57.91,58.29
479,58.46,57.68,-1.3342456380431078,57.68,63.84
480,48.9,48.54,-0.7361963190184007,48.54,49.17
481,48.86,48.7,-0.32746623004501485,48.7,48.86
482,48.7,48.51,-0.39014373716633743,48.51,48.7
483,48.8,48.45,-0.7172131147540894,48.45,48.8
484,48.97,48.65,-0.6534613028384761,48.65,49.07
485,48.98,48.69,-0.5920783993466738,48.69,49.0
486,49.02,48.65,-0.7547939616483146,48.65,51.08
487,48.59,48.43,-0.32928586128834203,48.43,48.59
488,48.85,48.65,-0.4094165813715467,48.65,48.85
489,48.65,48.45,-0.41109969167522076,48.45,48.82
490,44.0,44.24,0.5454545454545601,43.92,45.02
491,46.13,45.78,-0.7587253414264028,45.78,46.13
492,46.1,45.73,-0.8026030368763704,45.73,46.1
493,45.73,45.47,-0.5685545593702157,45.47,46.36
